Day,num_positive,num_tested,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
88,492,593,983,3953,253,175
89,403,499,913,4030,256,193
90,329,414,861,4104,260,208
91,329,423,765,4165,282,221
92,283,337,689,4207,288,235
93,231,282,620,4257,294,250
94,214,256,570,4313,294,268
95,196,235,505,4365,290,286
96,168,208,454,4407,280,304
97,115,146,399,4429,262,327
98,119,145,353,4457,260,341
99,111,138,321,4486,234,355
100,95,114,293,4500,209,377
101,85,108,256,4514,189,401
102,79,95,218,4531,177,412
103,61,77,184,4549,156,432
104,55,64,155,4562,137,446
105,47,58,148,4577,120,461
106,52,62,125,4582,93,477
107,38,47,104,4590,81,485
108,32,42,95,4595,75,488
109,37,40,92,4606,65,495
110,31,35,85,4616,52,503
111,27,30,69,4618,47,506
112,21,29,61,4623,41,511
113,18,20,47,4624,38,514
114,18,24,47,4629,33,515
115,14,19,44,4634,28,517
116,13,15,44,4639,24,520
117,20,22,37,4643,20,521
118,14,18,29,4645,16,525
119,13,14,30,4648,11,527
120,13,14,27,4650,9,530
121,5,5,29,4653,9,530
122,11,13,28,4657,8,530
123,4,5,24,4658,8,530
124,7,7,20,4659,8,530
125,6,7,19,4662,7,530
126,4,5,18,4663,4,531
127,1,1,16,4664,4,532
128,4,6,15,4665,4,532
129,2,3,13,4666,3,533
130,3,4,9,4666,6,533
131,0,0,8,4666,6,534
132,0,0,7,4666,6,534
133,2,2,6,4668,8,534
134,0,0,5,4668,8,534
135,1,1,4,4668,7,534
136,1,1,3,4668,6,535
137,2,2,2,4668,7,535
138,0,0,2,4668,4,536
139,0,0,2,4668,3,536
140,0,0,2,4668,3,536
141,0,0,1,4669,1,537
142,1,1,1,4669,1,537
143,0,0,1,4669,1,537
144,0,0,1,4669,1,537
145,3,3,2,4670,0,537
146,0,0,2,4670,0,537
147,1,2,3,4671,0,537
148,0,0,3,4671,0,537
149,0,0,2,4671,0,537
150,0,0,2,4671,0,537
151,1,1,2,4671,0,537
152,0,1,2,4671,0,537
153,0,0,1,4671,0,537
154,0,0,1,4671,0,537
155,1,2,0,4671,0,537
156,0,0,0,4671,0,537
157,0,0,0,4671,0,537
158,0,0,0,4671,0,537
159,0,0,0,4671,0,537
160,0,0,0,4671,0,537
161,0,0,0,4671,0,537
162,0,0,0,4671,0,537
163,0,0,0,4671,0,537
164,0,0,0,4671,0,537
165,0,0,0,4671,0,537
166,0,0,0,4671,0,537
167,0,0,0,4671,0,537
168,0,0,0,4671,0,537
169,0,0,0,4671,0,537
170,0,0,0,4671,0,537
171,0,0,0,4671,0,537
172,0,0,0,4671,0,537
173,0,0,0,4671,0,537
174,0,0,0,4671,0,537
175,0,0,0,4671,0,537
176,0,0,0,4671,0,537
177,0,0,0,4671,0,537
178,0,0,0,4671,0,537
179,0,0,0,4671,0,537
180,0,0,0,4671,0,537
181,0,0,0,4671,0,537
182,0,0,0,4671,0,537
183,0,0,0,4671,0,537
184,0,0,0,4671,0,537
185,0,0,0,4671,0,537
186,0,0,0,4671,0,537
187,0,0,0,4671,0,537
188,0,0,0,4671,0,537
189,0,0,0,4671,0,537
190,0,0,0,4671,0,537
191,0,0,0,4671,0,537
